Species	Phylum	[NH4]+ [µmol/l]	[PO4]3- [µmol/l]	Biom [g/l]	E [µmol/m**2/s]	[NO3]- [µmol/l]	SGR [%/day]
Palmaria mollis	Rhodophyta			7.00	400.69		2.79
Palmaria mollis	Rhodophyta			7.00	428.58		3.22
Palmaria mollis	Rhodophyta			7.00	439.53		3.30
Palmaria mollis	Rhodophyta			7.00	491.90		4.87
Palmaria mollis	Rhodophyta			7.00	377.61		2.28
Palmaria mollis	Rhodophyta			7.00	400.69		2.28
Palmaria mollis	Rhodophyta			7.00	428.58		2.52
Palmaria mollis	Rhodophyta			7.00	439.53		2.70
Palmaria mollis	Rhodophyta			7.00	491.90		3.76
Palmaria mollis	Rhodophyta			8.00	554.03		9.99
Palmaria mollis	Rhodophyta			8.00	564.51		10.79
Palmaria mollis	Rhodophyta			8.00	588.73		11.37
Palmaria mollis	Rhodophyta			8.00	601.81		11.49
Palmaria mollis	Rhodophyta			8.00	554.03		8.57
Palmaria mollis	Rhodophyta			8.00	564.51		9.62
Palmaria mollis	Rhodophyta			8.00	588.73		10.36
Palmaria mollis	Rhodophyta			8.00	601.81		9.87
Palmaria mollis	Rhodophyta			8.00	636.57		11.10
Palmaria mollis	Rhodophyta			8.00	636.57		10.60
Palmaria mollis	Rhodophyta			8.00	636.57		9.20
Palmaria mollis	Rhodophyta			2.60	150.46		8.75
Palmaria mollis	Rhodophyta			2.60	451.39		7.14
Palmaria mollis	Rhodophyta			2.60	150.46		8.23
Palmaria mollis	Rhodophyta			2.60	451.39		10.32
Palmaria mollis	Rhodophyta			2.60	150.46		5.94
Palmaria mollis	Rhodophyta			2.60	451.39		10.41
Palmaria mollis	Rhodophyta			2.60	150.46		0.54
Palmaria mollis	Rhodophyta			2.60	451.39		8.93
Palmaria mollis	Rhodophyta			2.60	150.46		-1.40
Palmaria mollis	Rhodophyta			2.60	451.39		2.25
Palmaria mollis	Rhodophyta			2.60	150.46		-6.61
Palmaria mollis	Rhodophyta			2.60	451.39		-3.04
Palmaria mollis	Rhodophyta			8.00	538.14		5.03
Palmaria mollis	Rhodophyta			8.00	538.14		7.20
Palmaria mollis	Rhodophyta			8.00	538.14		4.37
Palmaria mollis	Rhodophyta			8.00	538.14		7.10
Kappaphycus alvarezii	Rhodophyta						6.98
Kappaphycus alvarezii	Rhodophyta						5.84
Kappaphycus alvarezii	Rhodophyta						5.36
Kappaphycus alvarezii	Rhodophyta						6.62
Kappaphycus alvarezii	Rhodophyta						6.36
Kappaphycus alvarezii	Rhodophyta						5.16
Kappaphycus alvarezii	Rhodophyta						5.33
Kappaphycus alvarezii	Rhodophyta						6.36
Kappaphycus alvarezii	Rhodophyta						6.44
Kappaphycus alvarezii	Rhodophyta						4.23
Kappaphycus alvarezii	Rhodophyta						4.45
Kappaphycus alvarezii	Rhodophyta						5.06
Kappaphycus alvarezii	Rhodophyta						5.77
Kappaphycus alvarezii	Rhodophyta						6.75
Kappaphycus alvarezii	Rhodophyta						5.94
Kappaphycus alvarezii	Rhodophyta						5.78
Kappaphycus alvarezii	Rhodophyta						5.63
Kappaphycus alvarezii	Rhodophyta			0.40			6.90
Kappaphycus alvarezii	Rhodophyta			0.55			5.34
Kappaphycus alvarezii	Rhodophyta			0.70			4.99
Kappaphycus alvarezii	Rhodophyta			0.85			4.51
Kappaphycus alvarezii	Rhodophyta						3.84
Kappaphycus alvarezii	Rhodophyta						3.50
Gracilaria tenuistipitata	Rhodophyta			5.00			2.81
Gracilaria tenuistipitata	Rhodophyta			5.00			4.40
Gracilaria tenuistipitata	Rhodophyta			5.00			5.62
Gracilaria tenuistipitata	Rhodophyta			5.00			4.85
Gracilaria tenuistipitata	Rhodophyta			5.00			4.05
Laminaria solidungula	Phaeophyta		16.00		60.00		0.45
Himantothallus grandifolius	Phaeophyta		16.00		60.00		0.53
Laminaria saccharjna	Phaeophyta		16.00		60.00		0.41
Gracilaria parvispora	Rhodophyta						0.82
Gracilaria parvispora	Rhodophyta						0.96
Gracilaria parvispora	Rhodophyta						-0.71
Gracilaria parvispora	Rhodophyta						3.09
Gracilaria parvispora	Rhodophyta						2.21
Gracilaria parvispora	Rhodophyta						2.68
Gracilaria parvispora	Rhodophyta			2.00			8.99
Gracilaria parvispora	Rhodophyta			2.00			8.27
Gracilaria parvispora	Rhodophyta			4.00			4.97
Gracilaria parvispora	Rhodophyta			4.00			5.25
Gracilaria parvispora	Rhodophyta			8.00			6.96
Gracilaria parvispora	Rhodophyta			8.00			4.51
Callophyllis variegata	Rhodophyta				1.00		0.27
Callophyllis variegata	Rhodophyta				1.00		0.49
Callophyllis variegata	Rhodophyta				5.00		0.32
Callophyllis variegata	Rhodophyta				5.00		0.23
Callophyllis variegata	Rhodophyta				10.00		0.55
Callophyllis variegata	Rhodophyta				10.00		0.11
Callophyllis variegata	Rhodophyta				1.00		-2.74
Callophyllis variegata	Rhodophyta				1.00		-2.12
Callophyllis variegata	Rhodophyta				5.00		0.21
Callophyllis variegata	Rhodophyta				5.00		-0.84
Callophyllis variegata	Rhodophyta				10.00		-0.23
Callophyllis variegata	Rhodophyta				10.00		-1.05
Callophyllis variegata	Rhodophyta				12.00		1.42
Callophyllis variegata	Rhodophyta				12.00		1.04
Gracilaria chilensis	Rhodophyta	0.89	0.97	2.40	794.00	7.21	
Gracilaria chilensis	Rhodophyta	0.89	0.97	3.80	794.00	7.21	
Gracilaria chilensis	Rhodophyta	0.89	0.97	5.20	794.00	7.21	
Gracilaria chilensis	Rhodophyta	0.89	0.97	6.40	794.00	7.21	
Ulva lactuca	Chlorophyta	0.89	0.97	2.40	794.00	7.21	
Ulva lactuca	Chlorophyta	0.89	0.97	3.80	794.00	7.21	
Ulva lactuca	Chlorophyta	0.89	0.97	5.20	794.00	7.21	
Ulva lactuca	Chlorophyta	0.89	0.97	6.40	794.00	7.21	
Gracilaria chilensis	Rhodophyta	1.05	1.95	3.80	794.00	8.00	
Gracilaria chilensis	Rhodophyta	1.05	1.95	3.80	794.00	8.00	
Gracilaria chilensis	Rhodophyta	1.05	1.95	3.80	794.00	8.00	
Gracilaria chilensis	Rhodophyta	1.05	1.95	3.80	794.00	8.00	
Ulva lactuca	Chlorophyta	1.05	1.95	3.80	794.00	8.00	
Ulva lactuca	Chlorophyta	1.05	1.95	3.80	794.00	8.00	
Ulva lactuca	Chlorophyta	1.05	1.95	3.80	794.00	8.00	
Ulva lactuca	Chlorophyta	1.05	1.95	3.80	794.00	8.00	
Ulva lactuca	Chlorophyta	1.20	1.09	3.80	794.00	6.63	0.49
Ulva lactuca	Chlorophyta	0.47	0.93	3.80	794.00	5.47	1.31
Ulva lactuca	Chlorophyta	0.75	1.20	3.80	794.00	5.17	2.24
Ulva lactuca	Chlorophyta	0.59	0.82	3.80	794.00	3.75	2.56
Gracilaria lemaneiformis	Rhodophyta	6.60	1.42	0.07	135.50		0.73
Gracilaria lemaneiformis	Rhodophyta	3.74	1.01	0.14	135.50		2.52
Gracilaria lemaneiformis	Rhodophyta	3.53	0.96	0.26	135.50		1.25
Gracilaria lemaneiformis	Rhodophyta	3.47	1.07	0.35	135.50		0.55
Gracilariopsis persica	Rhodophyta				60.00		0.29
Gracilariopsis persica	Rhodophyta				60.00		0.46
Gracilariopsis persica	Rhodophyta				60.00		0.84
Gracilariopsis persica	Rhodophyta				60.00		2.97
Gracilariopsis persica	Rhodophyta				60.00		3476.00
Gracilariopsis persica	Rhodophyta				60.00		3.08
Gracilariopsis persica	Rhodophyta				60.00		2.23
Gracilariopsis persica	Rhodophyta				60.00		0.22
Gracilariopsis persica	Rhodophyta				10.00		0.63
Gracilariopsis persica	Rhodophyta				20.00		2.15
Gracilariopsis persica	Rhodophyta				40.00		2.78
Gracilariopsis persica	Rhodophyta				60.00		3.47
Gracilariopsis persica	Rhodophyta				80.00		1.45
Gracilariopsis persica	Rhodophyta				60.00		0.09
Gracilariopsis persica	Rhodophyta				60.00		2.50
Gracilariopsis persica	Rhodophyta				60.00		3.96
Gracilariopsis persica	Rhodophyta				60.00		3.08
Gracilariopsis persica	Rhodophyta				60.00		1.70
Gracilariopsis persica	Rhodophyta				60.00		0.71
Gracilariopsis persica	Rhodophyta				60.00		1.31
Gracilariopsis persica	Rhodophyta				60.00		1.56
Gracilariopsis persica	Rhodophyta				60.00		1.86
Gracilariopsis persica	Rhodophyta				60.00		2.00
Gracilariopsis persica	Rhodophyta				60.00		2.26
Gracilariopsis persica	Rhodophyta				60.00		1.55
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	25.00		2.68
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	100.00		4.11
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	250.00		6.90
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	400.00		7.82
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	700.00		9.29
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	1000.00		11.09
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	1300.00		11.63
Palmaria palmata	Rhodophyta	100.00	10.00	16.80	1600.00		12.06
Enteromorpha prolifera	Chlorophyta			1.50	20.00		22.61
Enteromorpha calthrata	Chlorophyta			1.50	20.00		22.27
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		2.74
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		4.72
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		0.96
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		0.87
Kappaphycus alvarezii var.	Rhodophyta			0.20	100.00		3.37
Kappaphycus alvarezii var.	Rhodophyta			0.40	100.00		4.03
Kappaphycus alvarezii var.	Rhodophyta			0.60	100.00		2.99
Kappaphycus alvarezii var.	Rhodophyta			0.80	100.00		2.54
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		2.19
Kappaphycus alvarezii var.	Rhodophyta			1.00	25.00		2.03
Kappaphycus alvarezii var.	Rhodophyta			1.00	50.00		2.77
Kappaphycus alvarezii var.	Rhodophyta			1.00	75.00		4.15
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		2.84
Kappaphycus alvarezii var.	Rhodophyta			1.00	125.00		2.46
Kappaphycus alvarezii var.	Rhodophyta			1.00	150.00		1.37
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		2.54
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		4.11
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		4.58
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		4.36
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		2.24
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		1.16
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		5.36
Kappaphycus alvarezii var.	Rhodophyta			1.00	100.00		4.71
Kappaphycus alvarezii	Rhodophyta			2.40			-5.23
Kappaphycus alvarezii	Rhodophyta			2.40			-2.53
Kappaphycus alvarezii	Rhodophyta			2.40			-1.84
Kappaphycus alvarezii	Rhodophyta			2.40			0.04
Kappaphycus striatum	Rhodophyta			2.40			-3.75
Kappaphycus striatum	Rhodophyta			2.40			-2.45
Kappaphycus striatum	Rhodophyta			2.40			-1.94
Kappaphycus striatum	Rhodophyta			2.40			0.20
Kappaphycus alvarezii	Rhodophyta			1.92			-6.34
Kappaphycus alvarezii	Rhodophyta			1.92			-4.21
Kappaphycus alvarezii	Rhodophyta			1.92			-4.75
Kappaphycus alvarezii	Rhodophyta			1.92			-2.94
Kappaphycus striatum	Rhodophyta			1.92			0.30
Kappaphycus striatum	Rhodophyta			1.92			0.30
Kappaphycus striatum	Rhodophyta			1.92			0.12
Kappaphycus striatum	Rhodophyta			1.92			0.48
Kappaphycus alvarezii	Rhodophyta			0.96			0.88
Kappaphycus alvarezii	Rhodophyta			0.96			1.11
Kappaphycus alvarezii	Rhodophyta			0.96			0.41
Kappaphycus alvarezii	Rhodophyta			0.96			1.44
Kappaphycus striatum	Rhodophyta			0.96			1.60
Kappaphycus striatum	Rhodophyta			0.96			1.43
Kappaphycus striatum	Rhodophyta			0.96			1.49
Kappaphycus striatum	Rhodophyta			0.96			1.98
Hizikia fusiformis	Phaeophyta		2.50	0.50	35.00	45.00	1.66
Hizikia fusiformis	Phaeophyta		2.50	0.50	85.00	45.00	4.80
Hizikia fusiformis	Phaeophyta		2.50	0.50	165.00	45.00	5.17
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	1.03
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	2.06
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	1.37
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	2.79
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	2.37
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	1.11
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	20.00	20.00	2.31
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	40.00	20.00	2.25
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	60.00	20.00	2.35
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	80.00	20.00	2.35
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	100.00	20.00	2.72
Gracilaria lemaneiformis	Rhodophyta	20.00	2.50	2.50	120.00	20.00	2.57
Palmaria mollis	Rhodophyta	2353.00	83.30	2.60	433.33		10.70
Palmaria mollis	Rhodophyta		83.30	2.60	433.33	2353.00	12.25
Palmaria mollis	Rhodophyta		83.30	2.60	433.33	2353.00	13.50
Palmaria mollis	Rhodophyta	2353.00	83.30	2.60	433.33	2353.00	13.77
Palmaria mollis	Rhodophyta	4706.00	83.30	2.60	433.33	2353.00	13.01
Palmaria mollis	Rhodophyta		1.10	2.60	274.07	2942.00	2.40
Palmaria mollis	Rhodophyta		42.00	2.60	274.07	2942.00	13.40
Palmaria mollis	Rhodophyta		83.00	2.60	274.07	2942.00	12.70
Palmaria mollis	Rhodophyta		125.00	2.60	274.07	2942.00	11.20
Palmaria mollis	Rhodophyta		167.00	2.60	274.07	2942.00	9.70
Palmaria mollis	Rhodophyta		250.00	2.60	274.07	2942.00	5.70
Palmaria mollis	Rhodophyta		375.00	2.60	274.07	2942.00	3.80
Palmaria mollis	Rhodophyta		500.00	2.60	274.07	2942.00	2.80
Palmaria mollis	Rhodophyta		1.10	2.60	1400.00	2942.00	1.50
Palmaria mollis	Rhodophyta		42.00	2.60	1400.00	2942.00	16.20
Palmaria mollis	Rhodophyta		83.00	2.60	1400.00	2942.00	17.30
Palmaria mollis	Rhodophyta		125.00	2.60	1400.00	2942.00	13.50
Palmaria mollis	Rhodophyta		167.00	2.60	1400.00	2942.00	12.50
Palmaria mollis	Rhodophyta		250.00	2.60	1400.00	2942.00	9.60
Palmaria mollis	Rhodophyta		375.00	2.60	1400.00	2942.00	7.00
Palmaria mollis	Rhodophyta		500.00	2.60	1400.00	2942.00	4.70
Palmaria mollis	Rhodophyta		83.30	2.60	274.07	588.00	11.92
Palmaria mollis	Rhodophyta		83.30	2.60	274.07	1176.00	12.93
Palmaria mollis	Rhodophyta		83.30	2.60	274.07	1765.00	12.91
Palmaria mollis	Rhodophyta		83.30	2.60	274.07	2353.00	13.41
Palmaria mollis	Rhodophyta		83.30	2.60	274.07	2942.00	13.90
Palmaria mollis	Rhodophyta		83.30	2.60	274.07	3530.00	13.50
Palmaria mollis	Rhodophyta		83.30	2.60	1400.00	588.00	14.70
Palmaria mollis	Rhodophyta		83.30	2.60	1400.00	1176.00	14.93
Palmaria mollis	Rhodophyta		83.30	2.60	1400.00	1765.00	15.40
Palmaria mollis	Rhodophyta		83.30	2.60	1400.00	2353.00	15.79
Palmaria mollis	Rhodophyta		83.30	2.60	1400.00	2942.00	16.17
Palmaria mollis	Rhodophyta		83.30	2.60	1400.00	3530.00	15.72
Ulva pertusa	Chlorophyta		100.00	2.40	56.00	0.00	5.32
Ulva pertusa	Chlorophyta		100.00	2.40	56.00	10.00	3.67
Ulva pertusa	Chlorophyta		100.00	2.40	56.00	1500.00	4.08
Ulva pertusa	Chlorophyta		100.00	2.40	56.00	15000.00	4.61
Ulva pertusa	Chlorophyta		0.00	2.40	56.00	2000.00	2.15
Ulva pertusa	Chlorophyta		1.00	2.40	56.00	2000.00	4.11
Ulva pertusa	Chlorophyta		75.00	2.40	56.00	2000.00	5.09
Ulva pertusa	Chlorophyta		750.00	2.40	56.00	2000.00	6.86
Gracilariatenuistipitatavar. liui	Rhodophyta		35.00			820.00	3.60
Gracilariatenuistipitatavar. liui	Rhodophyta	820.00	35.00			820.00	3.60
Kappaphycus alvarezii	Rhodophyta	0.07	0.01	1.50	125.00	0.03	0.94
Kappaphycus alvarezii	Rhodophyta	0.04	0.00	1.50	125.00	0.00	0.48
Kappaphycus alvarezii	Rhodophyta			1.50	125.00	500.00	0.65
Kappaphycus alvarezii	Rhodophyta			1.50	125.00	1000.00	0.96
Kappaphycus alvarezii	Rhodophyta			1.50	125.00	2000.00	0.51
Gelidium rubustum	Rhodophyta		0.00		200.00		6.75
Gelidium rubustum	Rhodophyta		50.00		200.00		17.95
Gelidium rubustum	Rhodophyta		100.00		200.00		17.74
Gelidium rubustum	Rhodophyta		150.00		200.00		20.10
Gelidium rubustum	Rhodophyta		200.00		200.00		17.46
Gelidium rubustum	Rhodophyta		3.00		200.00		8.48
Gelidium rubustum	Rhodophyta		5.00		200.00		9.12
Gelidium rubustum	Rhodophyta		10.00		200.00		12.13
Gelidium rubustum	Rhodophyta		15.00		200.00		14.27
Gelidium rubustum	Rhodophyta		20.00		200.00		13.86
Gracilaria lemaneiformis	Rhodophyta	5.00		1.11		5.00	1.66
Gracilaria lemaneiformis	Rhodophyta	10.00		1.11		10.00	4.71
Gracilaria lemaneiformis	Rhodophyta	15.00		1.11		15.00	6.64
Gracilaria lemaneiformis	Rhodophyta	20.00		1.11		20.00	10.17
Gracilaria lemaneiformis	Rhodophyta	30.00		1.11		30.00	12.45
Gracilaria lemaneiformis	Rhodophyta	40.00		1.11		40.00	14.25
Gracilaria lemaneiformis	Rhodophyta	50.00		1.11		50.00	15.22
Gracilaria lemaneiformis	Rhodophyta	75.00		1.11		75.00	15.85
Gracilaria lemaneiformis	Rhodophyta	100.00		1.11		100.00	16.00
Gracilaria lemaneiformis	Rhodophyta		5.00	1.11			2.20
Gracilaria lemaneiformis	Rhodophyta		10.00	1.11			7.50
Gracilaria lemaneiformis	Rhodophyta		15.00	1.11			9.71
Gracilaria lemaneiformis	Rhodophyta		20.00	1.11			13.80
Gracilaria lemaneiformis	Rhodophyta		30.00	1.11			15.33
Gracilaria lemaneiformis	Rhodophyta		40.00	1.11			16.53
Gracilaria lemaneiformis	Rhodophyta		60.00	1.11			16.53
Gracilaria lemaneiformis	Rhodophyta		80.00	1.11			16.52
Gracilaria lemaneiformis	Rhodophyta		100.00	1.11			16.38
Gracilaria lichevoides	Rhodophyta	5.00		1.11		5.00	8.23
Gracilaria lichevoides	Rhodophyta	10.00		1.11		10.00	11.46
Gracilaria lichevoides	Rhodophyta	15.00		1.11		15.00	13.11
Gracilaria lichevoides	Rhodophyta	20.00		1.11		20.00	15.78
Gracilaria lichevoides	Rhodophyta	30.00		1.11		30.00	17.23
Gracilaria lichevoides	Rhodophyta	40.00		1.11		40.00	17.44
Gracilaria lichevoides	Rhodophyta	50.00		1.11		50.00	17.04
Gracilaria lichevoides	Rhodophyta	75.00		1.11		75.00	17.52
Gracilaria lichevoides	Rhodophyta	100.00		1.11		100.00	17.12
Gracilaria lichevoides	Rhodophyta		5.00	1.11			7.27
Gracilaria lichevoides	Rhodophyta		10.00	1.11			10.50
Gracilaria lichevoides	Rhodophyta		15.00	1.11			13.74
Gracilaria lichevoides	Rhodophyta		20.00	1.11			14.41
Gracilaria lichevoides	Rhodophyta		30.00	1.11			15.49
Gracilaria lichevoides	Rhodophyta		40.00	1.11			15.56
Gracilaria lichevoides	Rhodophyta		60.00	1.11			15.08
Gracilaria lichevoides	Rhodophyta		80.00	1.11			15.63
Gracilaria lichevoides	Rhodophyta		100.00	1.11			16.36
Ulva lactuca	Chlorophyta	5.71	36.77	3.00	1075.00	144.29	5.81
Ulva lactuca	Chlorophyta	5.71	36.77	3.00	1075.00	144.29	10.62
Ulva lactuca	Chlorophyta	5.71	36.77	6.00	1075.00	144.29	1.96
Ulva lactuca	Chlorophyta	5.71	36.77	6.00	1075.00	144.29	6.24
Ulva flexuosa	Chlorophyta	66.67	32.32	1.00	547.00	258.06	-13.69
U. fasciata	Chlorophyta	66.67	32.32	1.00	547.00	258.06	5.26
Gracilaria birdiae	Rhodophyta	66.67	32.32	1.00	547.00	258.06	3.00
Mastocarpus stellatus	Rhodophyta	154.10		1.25			2.85
Mastocarpus stellatus	Rhodophyta	151.20		2.50			3.44
Mastocarpus stellatus	Rhodophyta	153.00		3.75			3.09
Mastocarpus stellatus	Rhodophyta	170.50		1.25			8.12
Mastocarpus stellatus	Rhodophyta	179.00		2.50			6.12
Mastocarpus stellatus	Rhodophyta	175.00		3.75			4.02
Gracilaria chouae	Rhodophyta		1.68				7.71
Gracilaria lemaneiformis	Rhodophyta	6.39	2.28			36.34	
Gracilaria lemaneiformis	Rhodophyta	7.59	3.33			68.99	
Gracilaria lemaneiformis	Rhodophyta	5.69	3.18			61.43	
Gracilaria lemaneiformis	Rhodophyta	6.73	2.79			47.60	
Laminaria japonica	Phaeophyta	1.04	2.02			28.79	
Laminaria japonica	Phaeophyta	0.91	1.61			36.34	
Laminaria japonica	Phaeophyta	4.59	0.85			35.86	
Laminaria japonica	Phaeophyta	3.70	1.17			47.92	
Laminaria japonica	Phaeophyta	4.46	1.71			30.72	
Porphyra yezoensis	Rhodophyta	3.59	1.00			18.77	
Palmaria palmata	Rhodophyta	300.00	17.33	2.00	125.00	12.00	5.85
Palmaria palmata	Rhodophyta	0.00	17.33	2.00	125.00	312.00	7.89
Palmaria palmata	Rhodophyta	500.00	17.07	2.00	125.00	12.00	5.54
Palmaria palmata	Rhodophyta	0.00	17.07	2.00	125.00	512.00	7.16
Palmaria palmata	Rhodophyta	250.00	17.07	2.00	125.00	262.00	5.62
Palmaria palmata	Rhodophyta	300.00	17.33	2.00	125.00	12.00	7.04
Palmaria palmata	Rhodophyta	0.00	17.33	2.00	125.00	312.00	9.53
Palmaria palmata	Rhodophyta	500.00	17.07	2.00	125.00	12.00	6.62
Palmaria palmata	Rhodophyta	0.00	17.07	2.00	125.00	512.00	10.72
Palmaria palmata	Rhodophyta	250.00	17.07	2.00	125.00	262.00	5.32
Palmaria palmata	Rhodophyta	300.00	17.33	2.00	125.00	12.00	5.91
Palmaria palmata	Rhodophyta	0.00	17.33	2.00	125.00	312.00	10.82
Palmaria palmata	Rhodophyta	500.00	17.07	2.00	125.00	12.00	2.21
Palmaria palmata	Rhodophyta	0.00	17.07	2.00	125.00	512.00	11.96
Palmaria palmata	Rhodophyta	250.00	17.07	2.00	125.00	262.00	4.19
Ulva prolifera	Chlorophyta	0.01	1.03		60.00	20.12	18.33
Ulva prolifera	Chlorophyta	0.01	31.03		60.00	20.12	23.86
Ulva prolifera	Chlorophyta	0.01	1.03		60.00	520.12	26.99
Ulva prolifera	Chlorophyta	0.01	31.03		60.00	520.12	28.43
Caulerpa lentillifera	Chlorophyta	71.42	4.84	2.00	90.00	35.71	2.92
Caulerpa lentillifera	Chlorophyta	71.42	6.45	2.00	90.00	71.42	3.78
Caulerpa lentillifera	Chlorophyta	71.42	9.68	2.00	90.00	142.84	3.38
Caulerpa lentillifera	Chlorophyta	71.42	12.90	2.00	90.00	214.26	3.55
Caulerpa lentillifera	Chlorophyta	71.42	16.13	2.00	90.00	285.68	3.99
Caulerpa lentillifera	Chlorophyta	71.42	19.35	2.00	90.00	357.10	3.92
Caulerpa lentillifera	Chlorophyta	71.42	35.48	2.00	90.00	714.20	2.98
Caulerpa lentillifera	Chlorophyta	71.42	51.61	2.00	90.00	1071.30	3.06
Caulerpa lentillifera	Chlorophyta	71.42	67.74	2.00	90.00	1428.40	3.17
Gracilaria lichenoides	Rhodophyta	71.42	4.84	2.00	90.00	35.71	3.94
Gracilaria lichenoides	Rhodophyta	71.42	6.45	2.00	90.00	71.42	3.65
Gracilaria lichenoides	Rhodophyta	71.42	9.68	2.00	90.00	142.84	3.60
Gracilaria lichenoides	Rhodophyta	71.42	12.90	2.00	90.00	214.26	3.71
Gracilaria lichenoides	Rhodophyta	71.42	16.13	2.00	90.00	285.68	3.85
Gracilaria lichenoides	Rhodophyta	71.42	19.35	2.00	90.00	357.10	3.34
Gracilaria lichenoides	Rhodophyta	71.42	35.48	2.00	90.00	714.20	3.06
Gracilaria lichenoides	Rhodophyta	71.42	51.61	2.00	90.00	1071.30	2.91
Gracilaria lichenoides	Rhodophyta	71.42	67.74	2.00	90.00	1428.40	3.18
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	30.10	0.40	0.09
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	75.00	0.40	2.60
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	150.00	0.40	3.47
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	30.10	0.40	1.93
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	75.00	0.40	4.43
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	150.00	0.40	6.39
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	30.10	0.40	0.35
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	75.00	0.40	3.77
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	150.00	0.40	5.45
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	30.10	0.40	1.93
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	75.00	0.40	5.31
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	150.00	0.40	6.58
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	30.10	0.40	1.51
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	75.00	0.40	5.23
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	150.00	0.40	6.95
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	30.10	0.40	1.39
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	75.00	0.40	4.90
Chondrus crispus	Rhodophyta	500.00	30.00	2.00	150.00	0.40	7.18
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	30.10	0.40	0.59
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	75.00	0.40	5.83
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	150.00	0.40	5.61
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	30.10	0.40	3.04
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	75.00	0.40	9.14
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	150.00	0.40	10.58
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	30.10	0.40	1.66
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	75.00	0.40	6.13
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	150.00	0.40	5.45
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	30.10	0.40	3.23
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	75.00	0.40	7.32
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	150.00	0.40	8.66
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	30.10	0.40	1.01
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	75.00	0.40	6.43
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	150.00	0.40	8.33
Palmaria palmata	Rhodophyta	500.00	30.00	2.00	30.10	0.40	0.89
